SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA,Rot
CN(CCO)C[C@@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,ZINC000000000843,Filter82_pyridinium > 0,311.34200000000004,-2.281299999999997,2,9,105.52000000000001,6
O=c1[nH]c(=O)n([C@@H]2C[C@@H](O)[C@H](CO)O2)cc1Br,ZINC000000001063,Filter82_pyridinium > 0,307.1,-1.0602,3,6,104.55000000000001,2
Cn1c2ncn(CC(=O)N3CCOCC3)c2c(=O)n(C)c1=O,ZINC000000003942,Filter82_pyridinium > 0,307.31,-1.7074999999999976,0,8,91.36000000000001,2
CN1C(=O)C[C@H](N2CCN(C(=O)CN3CCCC3)CC2)C1=O,ZINC000000036436,OK,308.38200000000006,-1.0162999999999975,0,5,64.17000000000002,3
CC(=O)NC[C@H](O)[C@H]1O[C@H]2OC(C)(C)O[C@H]2[C@@H]1NC(C)=O,ZINC000000041101,OK,302.327,-1.1354999999999982,3,6,106.12,4
Nc1nc(=O)n([C@@H]2O[C@H](CO)[C@H](O)[C@H]2O)cc1Br,ZINC000000051802,Filter82_pyridinium > 0,322.115,-1.8004999999999993,4,8,130.83,2
C1CN(c2nc(-c3nn[nH]n3)nc(N3CCOCC3)n2)CCO1,ZINC000000054542,OK,319.3290000000001,-1.2750999999999988,1,10,118.07000000000001,3
Cn1c2nc(N3CCCC3)n(C[C@H](O)CO)c2c(=O)[nH]c1=O,ZINC000000067694,Filter82_pyridinium > 0,309.326,-1.6232999999999982,3,8,116.38,4
Cn1c2nc(N3CCCC3)n(C[C@@H](O)CO)c2c(=O)[nH]c1=O,ZINC000000067703,Filter82_pyridinium > 0,309.326,-1.6232999999999982,3,8,116.38,4
Cn1c2nc(N3CCCC3)n(C[C@H](O)CO)c2c(=O)n(C)c1=O,ZINC000000067709,Filter82_pyridinium > 0,323.35300000000007,-1.612899999999998,2,9,105.52000000000001,4
Cn1c2nc(N3CCCC3)n(C[C@@H](O)CO)c2c(=O)n(C)c1=O,ZINC000000067713,Filter82_pyridinium > 0,323.35300000000007,-1.612899999999998,2,9,105.52000000000001,4
Cn1c2nc(N3CCOCC3)n(CCO)c2c(=O)n(C)c1=O,ZINC000000086395,Filter82_pyridinium > 0,309.326,-1.737399999999998,1,9,94.52000000000001,3
Cn1c2nc(Br)n(CC(N)=O)c2c(=O)n(C)c1=O,ZINC000000086400,Filter82_pyridinium > 0,316.11500000000007,-1.3184999999999991,1,7,104.91,2
Cn1c(=O)cc(N2CCOCC2)c2c(=O)n(C)c(=O)n(C)c21,ZINC000000087421,Filter82_pyridinium > 0,306.322,-1.227499999999998,0,8,78.47,1
O=c1[nH]c(=O)n([C@@H]2C[C@H](O)[C@H](CO)O2)cc1Br,ZINC000000087525,Filter82_pyridinium > 0,307.1,-1.0602,3,6,104.55000000000001,2
Cn1c2nc(N3CCOCC3)n(CCN)c2c(=O)n(C)c1=O,ZINC000000089660,Filter82_pyridinium > 0,308.342,-1.7709999999999968,1,9,100.31,3
COC(=O)Cn1c(-n2ccnc2)nc2c1c(=O)n(C)c(=O)n2C,ZINC000000090268,Filter82_pyridinium > 0,318.2930000000001,-1.2075999999999991,0,10,105.94,3
Cn1c2ncn(CC(=N)N3CCOCC3)c2c(=O)n(C)c1=O,ZINC000000091387,Filter82_pyridinium > 0,306.32599999999996,-1.2568299999999988,1,8,98.14000000000001,2
COc1cc(C=O)ccc1O[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O,ZINC000000104975,Filter38_aldehyde > 0,314.28999999999996,-1.3136000000000005,4,8,125.68000000000002,5
OCCN(CCO)c1nc(Cl)nc(N(CCO)CCO)n1,ZINC000000109481,OK,321.76500000000004,-1.8929999999999985,4,9,126.07000000000001,10
Cn1c2ncn(CC(=O)Nc3nncs3)c2c(=O)n(C)c1=O,ZINC000000116254,Filter82_pyridinium > 0,321.3220000000001,-1.0760999999999998,1,10,116.70000000000002,3
COC[C@H](C)NC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,ZINC000000116261,Filter82_pyridinium > 0,309.3260000000001,-1.415199999999998,1,8,100.15,5
COC[C@@H](C)NC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,ZINC000000116265,Filter82_pyridinium > 0,309.3260000000001,-1.415199999999998,1,8,100.15,5
COC(=O)CNC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,ZINC000000117222,Filter82_pyridinium > 0,309.28200000000004,-2.2770999999999972,1,9,117.22,4
COC(=O)c1ccc(S(=O)(=O)N(CCO)CCO)n1C,ZINC000000119782,OK,306.34000000000003,-1.212999999999999,2,7,109.07000000000002,7
O=c1c2cc3c(=O)n(CCO)c(=O)c3cc2c(=O)n1CCO,ZINC000000134422,OK,304.25800000000004,-2.102999999999999,2,8,118.60000000000001,4
COC(=O)/C=C/c1cn([C@@H]2OC[C@H](CO)[C@@H]2O)c(=O)[nH]c1=O,ZINC000000136666,Filter44_michael_acceptor2 > 0,312.278,-1.7789999999999992,3,8,130.85,4
CN(C)c1nc2c(ncnc2N)n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,ZINC000000158666,OK,310.31399999999996,-1.9139999999999988,4,10,142.78000000000003,3
Cn1c2ncn(C[C@H](O)CN3CCCC3)c2c(=O)n(C)c1=O,ZINC000000164082,Filter82_pyridinium > 0,307.354,-1.1095999999999986,1,8,85.28999999999999,4
Cn1c2ncn(C[C@@H](O)CN3CCCC3)c2c(=O)n(C)c1=O,ZINC000000164087,Filter82_pyridinium > 0,307.354,-1.1095999999999986,1,8,85.28999999999999,4
