SMILES,Name,Val
CN(CCO)C[C@@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,ZINC000000000843,0
O=c1[nH]c(=O)n([C@@H]2C[C@@H](O)[C@H](CO)O2)cc1Br,ZINC000000001063,0
Cn1c2ncn(CC(=O)N3CCOCC3)c2c(=O)n(C)c1=O,ZINC000000003942,0
CN1C(=O)C[C@H](N2CCN(C(=O)CN3CCCC3)CC2)C1=O,ZINC000000036436,0
CC(=O)NC[C@H](O)[C@H]1O[C@H]2OC(C)(C)O[C@H]2[C@@H]1NC(C)=O,ZINC000000041101,0
Nc1nc(=O)n([C@@H]2O[C@H](CO)[C@H](O)[C@H]2O)cc1Br,ZINC000000051802,0
C1CN(c2nc(-c3nn[nH]n3)nc(N3CCOCC3)n2)CCO1,ZINC000000054542,0
Cn1c2nc(N3CCCC3)n(C[C@H](O)CO)c2c(=O)[nH]c1=O,ZINC000000067694,0
Cn1c2nc(N3CCCC3)n(C[C@@H](O)CO)c2c(=O)[nH]c1=O,ZINC000000067703,0
Cn1c2nc(N3CCCC3)n(C[C@H](O)CO)c2c(=O)n(C)c1=O,ZINC000000067709,0
Cn1c2nc(N3CCCC3)n(C[C@@H](O)CO)c2c(=O)n(C)c1=O,ZINC000000067713,0
Cn1c2nc(N3CCOCC3)n(CCO)c2c(=O)n(C)c1=O,ZINC000000086395,0
Cn1c2nc(Br)n(CC(N)=O)c2c(=O)n(C)c1=O,ZINC000000086400,0
Cn1c(=O)cc(N2CCOCC2)c2c(=O)n(C)c(=O)n(C)c21,ZINC000000087421,0
O=c1[nH]c(=O)n([C@@H]2C[C@H](O)[C@H](CO)O2)cc1Br,ZINC000000087525,0
Cn1c2nc(N3CCOCC3)n(CCN)c2c(=O)n(C)c1=O,ZINC000000089660,0
COC(=O)Cn1c(-n2ccnc2)nc2c1c(=O)n(C)c(=O)n2C,ZINC000000090268,0
Cn1c2ncn(CC(=N)N3CCOCC3)c2c(=O)n(C)c1=O,ZINC000000091387,0
COc1cc(C=O)ccc1O[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O,ZINC000000104975,0
OCCN(CCO)c1nc(Cl)nc(N(CCO)CCO)n1,ZINC000000109481,0
Cn1c2ncn(CC(=O)Nc3nncs3)c2c(=O)n(C)c1=O,ZINC000000116254,0
COC[C@H](C)NC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,ZINC000000116261,0
COC[C@@H](C)NC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,ZINC000000116265,0
COC(=O)CNC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,ZINC000000117222,0
COC(=O)c1ccc(S(=O)(=O)N(CCO)CCO)n1C,ZINC000000119782,0
O=c1c2cc3c(=O)n(CCO)c(=O)c3cc2c(=O)n1CCO,ZINC000000134422,0
COC(=O)/C=C/c1cn([C@@H]2OC[C@H](CO)[C@@H]2O)c(=O)[nH]c1=O,ZINC000000136666,0
CN(C)c1nc2c(ncnc2N)n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,ZINC000000158666,0
Cn1c2ncn(C[C@H](O)CN3CCCC3)c2c(=O)n(C)c1=O,ZINC000000164082,0
Cn1c2ncn(C[C@@H](O)CN3CCCC3)c2c(=O)n(C)c1=O,ZINC000000164087,0
CN1CCN(c2nc3c(c(=O)[nH]c(=O)n3C)n2CCO)CC1,ZINC000000189476,0
Cn1c2nc(N3CCCCC3)n(CC(N)=O)c2c(=O)[nH]c1=O,ZINC000000192114,0
CC(C)OC[C@H](O)Cn1c(NN)nc2c1c(=O)[nH]c(=O)n2C,ZINC000000237787,0
CC(C)OC[C@@H](O)Cn1c(NN)nc2c1c(=O)[nH]c(=O)n2C,ZINC000000237789,0
Cn1c2nc(Br)n(C[C@H](O)CO)c2c(=O)[nH]c1=O,ZINC000000282225,0
Cn1c2nc(Br)n(C[C@@H](O)CO)c2c(=O)[nH]c1=O,ZINC000000282227,0
Cn1c2ncn(CC(=O)Nc3ncccn3)c2c(=O)n(C)c1=O,ZINC000000286819,0
Cn1c2nc(N3CCNCC3)n(CC(N)=O)c2c(=O)n(C)c1=O,ZINC000000287536,0
CN1CCN(c2nc3c(c(=O)[nH]c(=O)n3C)n2CC(N)=O)CC1,ZINC000000287539,0
Cn1c2c(c(=O)[nH]c1=O)[C@]1(O)C(=O)c3ccccc3[C@@]1(O)N2,ZINC000000298309,0
Cn1c2c(c(=O)[nH]c1=O)[C@]1(O)C(=O)c3ccccc3[C@]1(O)N2,ZINC000000298310,0
Cn1c2c(c(=O)[nH]c1=O)[C@@]1(O)C(=O)c3ccccc3[C@@]1(O)N2,ZINC000000298311,0
Cn1c2c(c(=O)[nH]c1=O)[C@@]1(O)C(=O)c3ccccc3[C@]1(O)N2,ZINC000000298313,0
Cn1c(=O)n(CC(=O)NC(C)(C)C)c2c1c(=O)n(C)c(=O)n2C,ZINC000000316831,0
Cn1c2nc(N3CCOCC3)n(CC(N)=O)c2c(=O)[nH]c1=O,ZINC000000369868,0
COC(=O)Cn1c(N2CCOCC2)nc2c1c(=O)[nH]c(=O)n2C,ZINC000000380543,0
COc1cc(C=O)ccc1O[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O,ZINC000000488469,0
CN(C)c1nc2c(ncnc2N)n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,ZINC000000519310,0
Cn1c2ncn(CC(=O)NC[C@H]3CCCO3)c2c(=O)n(C)c1=O,ZINC000000535090,0
Cn1c2ncn(CC(=O)NC[C@@H]3CCCO3)c2c(=O)n(C)c1=O,ZINC000000535091,0
CCOC(=O)Cn1nnc(-c2nnn(CC(=O)OCC)n2)n1,ZINC000000997152,0
COC(=O)/C=C/c1cn([C@@H]2OC[C@@H](CO)[C@H]2O)c(=O)[nH]c1=O,ZINC000001045412,0
O=S(=O)(CS(=O)(=O)N1CCOCC1)N1CCOCC1,ZINC000001049009,0
COc1cc(C=O)ccc1O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O,ZINC000001074260,0
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1Br,ZINC000001081233,0
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Br,ZINC000001081243,0
O=S(=O)([C@@H]1CCS(=O)(=O)C1)[C@@H]1CCS(=O)(=O)C1,ZINC000001091109,0
CN1CCN(c2nc3c(N)ncn(C[C@@H](O)CO)c-3n2)CC1,ZINC000001198032,0
O=S(=O)(N[C@H]1CCS(=O)(=O)C1)[C@@H]1CCS(=O)(=O)C1,ZINC000001225514,0
O=S(=O)(N[C@@H]1CCS(=O)(=O)C1)[C@@H]1CCS(=O)(=O)C1,ZINC000001225515,0
CN1C(=O)N[C@H]2[C@@H]1N(S(C)(=O)=O)CCN2S(C)(=O)=O,ZINC000001229468,0
CS(=O)(=O)N1CCN(S(C)(=O)=O)[C@@H]2OCCO[C@H]21,ZINC000001231732,0
O=S1(=O)CC[C@@H](NC(=S)N[C@@H]2CCS(=O)(=O)C2)C1,ZINC000001232783,0
Cn1c2nc(N3CCCCC3)n(C[C@H](O)CO)c2c(=O)[nH]c1=O,ZINC000001279220,0
Cn1c(NC(CO)(CO)CO)nc2c1c(=O)n(C)c(=O)n2C,ZINC000001314943,0
CN(C)CCn1c(=O)c2c(ncn2C[C@H](O)CO)n(C)c1=O,ZINC000001321569,0
CN(C)CCn1c(=O)c2c(ncn2C[C@@H](O)CO)n(C)c1=O,ZINC000001321570,0
CCOC(=O)NC(=O)c1cn(N2CCOCC2)c(=O)[nH]c1=O,ZINC000001397126,0
Cn1cc(-c2c(Cl)n(C)c(=O)n(C)c2=O)c(=O)n(C)c1=O,ZINC000001402289,0
COc1cc(C=O)ccc1O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O,ZINC000001448966,0
COC(=O)c1ccccc1O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O,ZINC000001448969,0
Cn1c2nc(-[n+]3cccc(C(=O)O)c3)[nH]c2c(=O)n(C)c1=O,ZINC000001498451,0
C[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](N)CC[P@](C)(=O)O)C(=O)O,ZINC000001530428,0
CSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,ZINC000001532230,0
CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,ZINC000001532510,0
CC(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,ZINC000001532511,0
CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](CCC(=O)O)C(=O)O,ZINC000001532512,0
CC(=O)N[C@H](CC(=O)O)C(=O)N[C@H](CCC(=O)O)C(=O)O,ZINC000001532513,0
Nc1ccn([C@@H]2C[C@@H](O)[C@H](COP(=O)(O)O)O2)c(=O)n1,ZINC000001532581,0
O=c1ccn([C@@H]2C[C@@H](O)[C@H](COP(=O)(O)O)O2)c(=O)[nH]1,ZINC000001532629,0
O=c1ccc2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2o1,ZINC000001559620,0
CC(C)C[C@H](NC(=O)CN)C(=O)NCC(=O)NCC(=O)O,ZINC000001576021,0
COCCCNC(=O)[C@@H]1C(=O)C(=O)N(CCCOC)C1=O,ZINC000001617448,0
Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O,ZINC000001678872,0
OCN(CO)c1nc(N(CO)CO)nc(N(CO)CO)n1,ZINC000001708610,0
CCOC(=O)CS(=O)(=O)CS(=O)(=O)CC(=O)OCC,ZINC000001711498,0
O=C(O)CN(CCCN(CC(=O)O)CC(=O)O)CC(=O)O,ZINC000001769289,0
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]2O)c(=O)n1,ZINC000001785780,0
CN(C)c1nc(N(C)C)nc(N2CC(=O)N(CC(=O)O)C2=N)n1,ZINC000001832361,0
COC(=O)CN1C(=O)CN(c2nc(OC)nc(N(C)C)n2)C1=N,ZINC000001871479,0
COc1nc(N(C)C)nc(N2CC(=O)N(CC(=O)O)C2=N)n1,ZINC000001897055,0
O=c1ccn([C@H]2O[C@@H](COP(=O)(O)O)[C@H](O)[C@H]2O)c(=O)[nH]1,ZINC000002026984,0
CSCC[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(=O)O,ZINC000002047344,0
CN(C)CCCNC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,ZINC000002063415,0
COCCn1c(N2CCOCC2)nc2c1c(=O)[nH]c(=O)n2C,ZINC000002072250,0
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,ZINC000002123545,0
O=C(O)[C@@H]1O[C@H](Oc2ccc([N+](=O)[O-])cc2)[C@@H](O)[C@H](O)[C@H]1O,ZINC000002151308,0
Nc1nonc1NC(=O)CSCC(=O)Nc1nonc1N,ZINC000002186186,0
NS(=O)(=O)c1ccc(NC(=O)C(=O)NCCC(=O)O)cc1,ZINC000002272786,0
COCCn1c(SCC(N)=O)nc2c1c(=O)[nH]c(=O)n2C,ZINC000002274799,0
CC(=O)O[C@H](C(=O)O)[C@H](OC(C)=O)C(=O)N1CCOCC1,ZINC000002296674,0
CC(=O)O[C@@H](C(=O)N1CCOCC1)[C@H](OC(C)=O)C(=O)O,ZINC000002296675,0
CC(=O)O[C@@H](C(=O)O)[C@H](OC(C)=O)C(=O)N1CCOCC1,ZINC000002296676,0
CC(=O)O[C@@H](C(=O)O)[C@@H](OC(C)=O)C(=O)N1CCOCC1,ZINC000002296677,0
O=C(NCCNC(=O)c1ccc(O)nn1)c1ccc(O)nn1,ZINC000002315605,0
O=C(O)CNc1nc(NCC(=O)O)nc(N2CCOCC2)n1,ZINC000002316003,0
CC(=O)N1C(=O)N([N+](=O)[O-])[C@H]2[C@@H]1N([N+](=O)[O-])C(=O)N2C(C)=O,ZINC000002352469,0
CC(=O)N1C(=O)N([N+](=O)[O-])[C@@H]2[C@H]1N([N+](=O)[O-])C(=O)N2C(C)=O,ZINC000002352471,0
NC(=O)COn1c(SCC(N)=O)nc2ccccc2c1=O,ZINC000002406861,0
O=C(N[C@@H]1CCS(=O)(=O)C1)C(=O)N[C@@H]1CCS(=O)(=O)C1,ZINC000002482082,0
CC(=O)N[C@]1(C(F)(F)F)C(=O)Nc2c1c(=O)n(C)c(=O)n2C,ZINC000002486889,0
CC(=O)N[C@@]1(C(F)(F)F)C(=O)Nc2c1c(=O)n(C)c(=O)n2C,ZINC000002486891,0
CC(=O)N[C@@H](CC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O,ZINC000002504638,0
Nc1nc2c([nH]c(=S)n2[C@H]2O[C@@H](CO)[C@H](O)[C@@H]2O)c(=O)[nH]1,ZINC000002522476,0
Nc1ccn([C@@H]2C[C@@H](OP(=O)(O)O)[C@H](CO)O2)c(=O)n1,ZINC000002522525,0
NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)O,ZINC000002522686,0
CCOC(=O)[C@@H](C(C)=O)C(=O)Nc1cn(C)c(=O)n(C)c1=O,ZINC000002532437,0
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,ZINC000002539571,0
